treat,age,agesq,education,educsq,black,hispanic,married,nodegree,lnre74,lnre75,u75,u74,educ_re74,propensity_score,propensity_logit,re78
1.0,28,784,8,64,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0.390768753583665,-0.444081948639683,1
1.0,31,961,11,121,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,0.447128468726171,-0.212279706796277,14509
1.0,18,324,9,81,1.0,0.0,0.0,1.0,0.0,8.097730573664219,0,1,0,0.42281845132342466,-0.31121396561123005,5010
1.0,19,361,11,121,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0.40098975591847164,-0.40134281929943366,7458
1.0,43,1849,9,81,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0.4572369010247069,-0.17147130335548935,1
1.0,17,289,8,64,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0.45545271432147866,-0.17866288016661494,8061
1.0,23,529,8,64,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0.44672174721310487,-0.21392513324109172,3881
1.0,23,529,12,144,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.423029496963819,-0.3103492345568646,4843
1.0,21,441,13,169,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.4582262550468074,-0.16748540076404186,17094
1.0,21,441,8,64,1.0,0.0,0.0,1.0,6.8966943316227125,8.214735833382303,0,0,7912,0.4470161581179716,-0.21273404020043687,4279
1.0,24,576,12,144,1.0,0.0,0.0,0.0,9.529884417576708,7.952263308657046,0,0,165180,0.43617456401499516,-0.25670215352380243,6167
1.0,21,441,12,144,1.0,0.0,0.0,0.0,8.77539495854551,8.111328003286733,0,0,77676,0.44644559239680465,-0.21504250534668354,9371
1.0,25,625,12,144,1.0,0.0,0.0,0.0,9.576787413063618,7.786967002614872,0,0,173112,0.45450173401945354,-0.18249789766273022,1
1.0,18,324,11,121,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0.4354549152726779,-0.2596289801811357,4814
1.0,30,900,12,144,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.42383011531422116,-0.3070698523876242,24909
1.0,26,676,12,144,1.0,0.0,1.0,0.0,9.036938912556788,8.664578178329295,0,0,100896,0.48955154407324314,-0.04179990882332487,1424
1.0,25,625,11,121,1.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0.42302385639747736,-0.31037234451838236,9897
1.0,31,961,12,144,0.0,0.0,0.0,0.0,0.0,7.867488568699128,0,1,0,0.44272834689012686,-0.23009645907887324,2484
